INDEX,BATTING_2B,BATTING_3B,BATTING_HR,BATTING_BB,BATTING_SO,BASERUN_SB,PITCHING_H,PITCHING_HR,PITCHING_BB,PITCHING_SO,FIELDING_E,FIELDING_DP,BATTING_1B,BATTING_TB,WHGP,PITCHING_SO_BB,BATTING_BB_SO,BsR
2291,185,80,34,413,579,149,1682,43,519,727,276,146,1040,1786,13.58641975,1.400770713,0.713298791,517.4652021
2299,272,86,95,503,545,87,1705,100,529,573,208,148,1168,2350,13.79012346,1.083175803,0.92293578,801.1187802
2317,288,62,105,572,498,39,1667,110,602,524,118,170,1130,2312,14.00617284,0.870431894,1.148594378,802.6295468
2318,269,46,67,542,513,58,1658,70,570,540,143,158,1194,2138,13.75308642,0.947368421,1.056530214,733.7864385
2353,300,49,101,451,781,117,1541,101,451,781,122,174,1091,2242,12.2962963,1.731707317,0.577464789,724.1477924
2403,175,18,59,529,974,133,1209,62,556,1025,175,155,897,1537,10.89506173,1.84352518,0.54312115,438.9316435
2411,265,27,125,483,593,92,1636,126,486,597,148,170,1209,2320,13.09876543,1.228395062,0.81450253,785.706123
2415,228,29,121,423,812,82,1470,122,426,817,139,139,1083,2110,11.7037037,1.917840376,0.520935961,653.561641
2424,284,39,181,483,984,113,1472,181,483,984,130,145,968,2377,12.06790123,2.037267081,0.490853659,757.7298277
2441,218,39,99,451,649,28,1374,100,454,653,131,164,1010,1959,11.28395062,1.438325991,0.694915254,592.0410159
2464,287,36,195,470,1094,156,1489,195,470,1094,97,184,971,2433,12.09259259,2.327659574,0.429616088,775.0058869
2465,305,38,187,522,1142,71,1457,187,522,1142,107,159,927,2399,12.21604938,2.187739464,0.45709282,773.3103417
2472,220,52,9,97,393,NA,3141,19,210,849,994,95,1173,1805,20.68518519,4.042857143,0.246819338,451.7099351
2481,221,98,56,638,451,319,2031,69,789,558,492,NA,1267,2227,17.40740741,0.707224335,1.414634146,819.3544894
2487,72,72,18,198,1107,NA,7371,162,1782,9963,936,NA,657,1089,56.5,5.590909091,0.178861789,193.4845006
2500,162,23,95,492,860,71,1299,99,511,893,139,146,971,1744,11.17283951,1.747553816,0.572093023,514.2759419
2501,190,23,125,695,777,77,1345,125,695,777,163,156,1007,1956,12.59259259,1.117985612,0.894465894,661.9818142
2520,263,37,102,463,976,196,1381,102,463,976,124,113,979,2024,11.38271605,2.107991361,0.474385246,618.8457339
2521,270,36,122,542,860,228,1410,122,542,860,159,144,982,2118,12.04938272,1.586715867,0.630232558,681.0741724
2525,339,34,172,420,1084,75,1423,172,420,1084,131,150,878,2346,11.37654321,2.580952381,0.387453875,712.1810434
